topo,maxbond,value
QTT_Seq,3,0.15219549657040707
QTT_Seq,6,0.04531687058661524
QTT_Seq,9,0.022290985057101018
QTT_Seq,12,0.014160740427856582
QTT_Seq,15,0.008865079481490417
QTT_Seq,18,0.011285478752570664
QTT_Seq,21,0.005312428730893276
QTT_Seq,24,0.02039238568425502
QTT_Seq,27,0.004115273047243438
QTT_Seq,30,0.007764637526367706
QTT_Seq,33,0.003243212508064312
QTT_Seq,36,0.005370860293604669
QTT_Seq,39,0.0024073360111219115
QTT_Seq,42,0.002074280763862494
QTT_Seq,45,0.0024639574063761707
QTT_Seq,48,0.0020364960282782127
QTT_Seq,51,0.001951120222435264
QTT_Seq,54,0.0009455043122133996
QTT_Seq,57,0.0007044225608088038
QTT_Seq,60,0.0011464256033410884
BTTN,3,0.1043155499275155
BTTN,6,0.027461821226188534
BTTN,9,0.008678124226096956
BTTN,12,0.006365164014291845
BTTN,15,0.00373347322828637
BTTN,18,0.0029171275142433725
BTTN,21,0.0012660573023508975
BTTN,24,0.0015208433321268822
BTTN,27,0.00062303366821334
BTTN,30,0.0005826985336202972
BTTN,33,0.0006667540892765714
BTTN,36,0.0005144131611293068
BTTN,39,0.00046164745885399493
BTTN,42,0.00021098034213284608
BTTN,45,0.00029970126795895644
BTTN,48,0.0003616241997203017
BTTN,51,0.0002581796185630379
BTTN,54,0.000272144035789091
BTTN,57,0.00022320552567878569
BTTN,60,0.0001527948739353194
CTTN,3,0.11595909093808998
CTTN,6,0.030080909107725793
CTTN,9,0.011786786520531682
CTTN,12,0.007462592038250928
CTTN,15,0.004981762742247768
CTTN,18,0.0028324452882526763
CTTN,21,0.0031834666457582505
CTTN,24,0.0017729437420583342
CTTN,27,0.0017570768625796865
CTTN,30,0.0014058795488693682
CTTN,33,0.0009438382777832081
CTTN,36,0.000951506648491229
CTTN,39,0.0005695811962045786
CTTN,42,0.0005249752636145464
CTTN,45,0.00039504837435286154
CTTN,48,0.00029341443482801353
CTTN,51,0.00037207653839441026
CTTN,54,0.00017157385389289162
CTTN,57,0.0002936300552798853
CTTN,60,0.00022505833600818638
QTT_Int,3,0.11826471939855343
QTT_Int,6,0.018243001610089463
QTT_Int,9,0.004809344798947358
QTT_Int,12,0.0012236032539828302
QTT_Int,15,0.0004016491000395357
QTT_Int,18,0.00017058818312434856
QTT_Int,21,5.8457485499440136e-5
QTT_Int,24,1.639046274836541e-5
QTT_Int,27,9.282023187001457e-6
QTT_Int,30,2.142618582266927e-6
QTT_Int,33,9.55969556414586e-7
QTT_Int,36,5.068371671104053e-7
QTT_Int,39,1.9242058186918316e-7
QTT_Int,42,7.376848818029958e-8
QTT_Int,45,2.6093438036084538e-8
QTT_Int,48,1.1762692485333407e-8
QTT_Int,51,5.623129888743435e-9
QTT_Int,54,2.290976915606928e-9
QTT_Int,57,8.868457536571682e-10
QTT_Int,60,3.65949405748483e-10
