topo,maxbond,bytes
QTT_Seq,3,140464.0
QTT_Seq,6,198192.0
QTT_Seq,9,254712.0
QTT_Seq,12,307512.0
QTT_Seq,15,359608.0
QTT_Seq,18,408888.0
QTT_Seq,21,454648.0
QTT_Seq,24,498296.0
QTT_Seq,27,551800.0
QTT_Seq,30,595448.0
QTT_Seq,33,636984.0
QTT_Seq,36,686360.0
QTT_Seq,39,732120.0
QTT_Seq,42,773656.0
QTT_Seq,45,815896.0
QTT_Seq,48,866584.0
QTT_Seq,51,912344.0
QTT_Seq,54,949656.0
QTT_Seq,57,1.001752e6
QTT_Seq,60,1.033432e6
BTTN,3,125600.0
BTTN,6,154464.0
BTTN,9,177896.0
BTTN,12,192680.0
BTTN,15,207464.0
BTTN,18,219432.0
BTTN,21,229992.0
BTTN,24,240552.0
BTTN,27,251112.0
BTTN,30,261672.0
BTTN,33,272232.0
BTTN,36,283592.0
BTTN,39,294152.0
BTTN,42,304712.0
BTTN,45,315272.0
BTTN,48,325832.0
BTTN,51,336392.0
BTTN,54,346952.0
BTTN,57,357512.0
BTTN,60,368072.0
CTTN,3,140464.0
CTTN,6,198896.0
CTTN,9,254712.0
CTTN,12,303992.0
CTTN,15,358904.0
CTTN,18,406776.0
CTTN,21,456760.0
CTTN,24,504632.0
CTTN,27,546872.0
CTTN,30,597560.0
CTTN,33,640504.0
CTTN,36,691992.0
CTTN,39,729304.0
CTTN,42,784216.0
CTTN,45,823640.0
CTTN,48,813080.0
CTTN,51,888408.0
CTTN,54,929240.0
CTTN,57,973592.0
CTTN,60,1.014424e6
QTT_Int,3,140464.0
QTT_Int,6,198896.0
QTT_Int,9,254712.0
QTT_Int,12,307512.0
QTT_Int,15,358200.0
QTT_Int,18,405368.0
QTT_Int,21,446200.0
QTT_Int,24,484216.0
QTT_Int,27,519416.0
QTT_Int,30,550392.0
QTT_Int,33,579256.0
QTT_Int,36,608920.0
QTT_Int,39,630744.0
QTT_Int,42,653976.0
QTT_Int,45,675800.0
QTT_Int,48,698328.0
QTT_Int,51,718040.0
QTT_Int,54,734936.0
QTT_Int,57,752536.0
QTT_Int,60,767320.0
