gf_name,topology,T,eta,maxbond,error_l1,mem_bytes
dcgf,QTT_Seq,50.0,0.5,5,0.12084424447131206,266320
dcgf,BTTN,50.0,0.5,5,0.23339532849341815,231584
dcgf,CTTN,50.0,0.5,5,0.055193655273626484,268816
dcgf,QTT_Int,50.0,0.5,5,1.1797695932159584,268816
dcgf,ITTN,50.0,0.5,5,0.9766485010525412,227600
dcgf,QTT_Seq,50.0,0.5,10,0.014749635916547666,407960
dcgf,BTTN,50.0,0.5,10,0.004295121769774675,288360
dcgf,CTTN,50.0,0.5,10,0.0031504649643155484,399640
dcgf,QTT_Int,50.0,0.5,10,0.9361209059312996,411288
dcgf,ITTN,50.0,0.5,10,0.6526509804341607,298520
dcgf,QTT_Seq,50.0,0.5,15,0.003033429420235727,524440
dcgf,BTTN,50.0,0.5,15,0.0006694813581969942,324136
dcgf,CTTN,50.0,0.5,15,0.0009595792897855447,542744
dcgf,QTT_Int,50.0,0.5,15,0.44042020876780874,542744
dcgf,ITTN,50.0,0.5,15,0.34403849061019565,365080
dcgf,QTT_Seq,50.0,0.5,20,0.0016247645824246442,621784
dcgf,BTTN,50.0,0.5,20,0.00039142204086393755,357416
dcgf,CTTN,50.0,0.5,20,0.000666137121876839,658392
dcgf,QTT_Int,50.0,0.5,20,0.12527507943501873,650904
dcgf,ITTN,50.0,0.5,20,0.1068621039430876,416664
dcgf,QTT_Seq,50.0,0.5,25,0.001089510578012452,748248
dcgf,BTTN,50.0,0.5,25,0.00015709885984414436,386536
dcgf,CTTN,50.0,0.5,25,0.0003359154190230495,775704
dcgf,QTT_Int,50.0,0.5,25,0.031073911339647684,749080
dcgf,ITTN,50.0,0.5,25,0.024680968659669948,462424
dcgf,QTT_Seq,50.0,0.5,30,0.0009234165423110695,923800
dcgf,BTTN,50.0,0.5,30,0.00015955377117075136,415656
dcgf,CTTN,50.0,0.5,30,0.00023351140047892224,904664
dcgf,QTT_Int,50.0,0.5,30,0.015363009160788463,841432
dcgf,ITTN,50.0,0.5,30,0.01215442460996512,504856
dcgf,QTT_Seq,50.0,0.5,35,0.0006113163352362113,1008632
dcgf,BTTN,50.0,0.5,35,9.551723265228977e-5,444744
dcgf,CTTN,50.0,0.5,35,0.0001366538576034501,1042744
dcgf,QTT_Int,50.0,0.5,35,0.006655518613729451,914616
dcgf,ITTN,50.0,0.5,35,0.005751737717034918,544760
dcgf,QTT_Seq,50.0,0.5,40,0.0004796636676548585,1150072
dcgf,BTTN,50.0,0.5,40,8.065219051367175e-5,466376
dcgf,CTTN,50.0,0.5,40,0.00022947491586620418,1103480
dcgf,QTT_Int,50.0,0.5,40,0.0035912800254332172,984504
dcgf,ITTN,50.0,0.5,40,0.0026547683978360736,578872
dcgf,QTT_Seq,50.0,0.5,45,0.00047715617163840565,1216632
dcgf,BTTN,50.0,0.5,45,8.694885628095064e-5,490504
dcgf,CTTN,50.0,0.5,45,0.00011784544552497625,1247416
dcgf,QTT_Int,50.0,0.5,45,0.001187409936144887,1052728
dcgf,ITTN,50.0,0.5,45,0.0008098739894027234,608824
dcgf,QTT_Seq,50.0,0.5,50,0.0002700210999707094,1332280
dcgf,BTTN,50.0,0.5,50,4.341850018056734e-5,513800
dcgf,CTTN,50.0,0.5,50,0.00011682338131835126,1320632
dcgf,QTT_Int,50.0,0.5,50,0.0006119166314295566,1111800
dcgf,ITTN,50.0,0.5,50,0.00035546428707529864,646264
dcgf,QTT_Seq,50.0,0.5,55,0.00040509631707627694,1440440
dcgf,BTTN,50.0,0.5,55,4.59574902915476e-5,530440
dcgf,CTTN,50.0,0.5,55,0.00010013023285866347,1444600
dcgf,QTT_Int,50.0,0.5,55,0.0002229999806815663,1175864
dcgf,ITTN,50.0,0.5,55,0.00012059977613064985,669560
dcgf,QTT_Seq,50.0,0.5,60,0.00030665852870478304,1579384
dcgf,BTTN,50.0,0.5,60,4.472289171672671e-5,547912
dcgf,CTTN,50.0,0.5,60,6.857861890406453e-5,1472056
dcgf,QTT_Int,50.0,0.5,60,9.47414653128849e-5,1215800
dcgf,ITTN,50.0,0.5,60,2.799828065153942e-5,702840
dcgf,QTT_Seq,50.0,2.0,5,0.27392940856694126,268816
dcgf,BTTN,50.0,2.0,5,0.2888715479837502,231584
dcgf,CTTN,50.0,2.0,5,0.11800503961962647,268816
dcgf,QTT_Int,50.0,2.0,5,0.6978746835100308,268816
dcgf,ITTN,50.0,2.0,5,0.5832670847279308,227600
dcgf,QTT_Seq,50.0,2.0,10,0.03813120600577801,403800
dcgf,BTTN,50.0,2.0,10,0.011253236333300639,288360
dcgf,CTTN,50.0,2.0,10,0.012600493334003263,406296
dcgf,QTT_Int,50.0,2.0,10,0.5969839453148614,411288
dcgf,ITTN,50.0,2.0,10,0.4528014836965825,298520
dcgf,QTT_Seq,50.0,2.0,15,0.014133290769796216,531096
dcgf,BTTN,50.0,2.0,15,0.0030609942981623473,326632
dcgf,CTTN,50.0,2.0,15,0.003860923150475263,539416
dcgf,QTT_Int,50.0,2.0,15,0.24872535354857722,542744
dcgf,ITTN,50.0,2.0,15,0.1791815562094412,365912
dcgf,QTT_Seq,50.0,2.0,20,0.006137562557179546,635928
dcgf,BTTN,50.0,2.0,20,0.000959736546366086,357416
