topo,maxbond,value
QTT_Seq,3,0.20601582697190177
QTT_Seq,6,0.12573502803592784
QTT_Seq,9,0.17197857978580983
QTT_Seq,12,0.13734323819589525
QTT_Seq,15,0.12227357049545891
QTT_Seq,18,0.11393557649931597
QTT_Seq,21,0.11722832033539032
QTT_Seq,24,0.1304405093277003
QTT_Seq,27,0.10419048925285829
QTT_Seq,30,0.11791867749881475
QTT_Seq,33,0.11599826101850211
QTT_Seq,36,0.11575294153870397
QTT_Seq,39,0.12444494774224647
QTT_Seq,42,0.12021238299990804
QTT_Seq,45,0.1045896544285885
QTT_Seq,48,0.1182875644019309
QTT_Seq,51,0.12171913915265561
QTT_Seq,54,0.11589984182896815
QTT_Seq,57,0.10972204114571123
QTT_Seq,60,0.10886318157301703
BTTN,3,0.14363958603040775
BTTN,6,0.04121613151910299
BTTN,9,0.01574982178979463
BTTN,12,0.008902013328332955
BTTN,15,0.0046974712886817885
BTTN,18,0.0028706421061154472
BTTN,21,0.0022805680531835823
BTTN,24,0.0016499332207807645
BTTN,27,0.001555784696895931
BTTN,30,0.000676314355813947
BTTN,33,0.001020256843493646
BTTN,36,0.0009932851472484916
BTTN,39,0.0008240221396944905
BTTN,42,0.0008888546526411285
BTTN,45,0.0004973342420447979
BTTN,48,0.0005022006377538784
BTTN,51,0.0005036925464593532
BTTN,54,0.00023348547953877787
BTTN,57,0.00016337621414400026
BTTN,60,0.00041053337715519524
CTTN,3,0.18470200306212178
CTTN,6,0.0466491347459619
CTTN,9,0.02112351286185491
CTTN,12,0.010856047674980121
CTTN,15,0.007820384583010136
CTTN,18,0.0037436658629452333
CTTN,21,0.002395455356332783
CTTN,24,0.001729149308345488
CTTN,27,0.0015448440626569752
CTTN,30,0.0012151476198978806
CTTN,33,0.001024681951596715
CTTN,36,0.0011398765575609592
CTTN,39,0.000574651490329686
CTTN,42,0.0008746096794271184
CTTN,45,0.0006562412005558936
CTTN,48,0.00047765292055651227
CTTN,51,0.0005192105731817387
CTTN,54,0.000555371174587477
CTTN,57,0.0006693723757320299
CTTN,60,0.00035348112733231
QTT_Int,3,0.18427637962419477
QTT_Int,6,0.07098133191604775
QTT_Int,9,0.02435347232998
QTT_Int,12,0.011071397296149353
QTT_Int,15,0.002296622207759374
QTT_Int,18,0.0012093996542324303
QTT_Int,21,0.00027844269834108385
QTT_Int,24,8.53580638570017e-5
QTT_Int,27,3.0088353966229673e-5
QTT_Int,30,6.452366045048903e-6
QTT_Int,33,3.0936424365043583e-6
QTT_Int,36,1.1531116459967196e-6
QTT_Int,39,4.256226035830823e-7
QTT_Int,42,1.629162442894527e-7
QTT_Int,45,7.51395579326653e-8
QTT_Int,48,2.9316034867713842e-8
QTT_Int,51,1.8395386109724235e-8
QTT_Int,54,5.427966510059833e-9
QTT_Int,57,3.1130058239317927e-9
QTT_Int,60,1.247925960503327e-9
TTTN,3,0.13584902860512782
TTTN,6,0.03779351390336018
TTTN,9,0.012579457436419916
TTTN,12,0.009347151749525837
TTTN,15,0.004536181416153491
TTTN,18,0.0030680955795668033
TTTN,21,0.002519996689561698
TTTN,24,0.001439301083879645
TTTN,27,0.001641904735181812
TTTN,30,0.0009553950420869088
TTTN,33,0.0012718750045645235
TTTN,36,0.0011059586732230773
TTTN,39,0.0004175249587467965
TTTN,42,0.0004481488206502881
TTTN,45,0.0007348814630611797
TTTN,48,0.0006826498043001009
TTTN,51,0.00034581704854300306
TTTN,54,0.00031004291936198775
TTTN,57,0.00025759805214592646
TTTN,60,0.000410080815009146
