topo,maxbond,bytes
QTT_Seq,3,140464.0
QTT_Seq,6,198192.0
QTT_Seq,9,244152.0
QTT_Seq,12,280760.0
QTT_Seq,15,310328.0
QTT_Seq,18,353976.0
QTT_Seq,21,376504.0
QTT_Seq,24,397624.0
QTT_Seq,27,415224.0
QTT_Seq,30,430008.0
QTT_Seq,33,439160.0
QTT_Seq,36,444888.0
QTT_Seq,39,445592.0
QTT_Seq,42,445592.0
QTT_Seq,45,445592.0
QTT_Seq,48,445592.0
QTT_Seq,51,445592.0
QTT_Seq,54,445592.0
QTT_Seq,57,445592.0
QTT_Seq,60,445592.0
BTTN,3,125600.0
BTTN,6,154464.0
BTTN,9,177896.0
BTTN,12,192680.0
BTTN,15,207464.0
BTTN,18,219432.0
BTTN,21,229992.0
BTTN,24,240552.0
BTTN,27,251112.0
BTTN,30,261672.0
BTTN,33,272232.0
BTTN,36,283592.0
BTTN,39,294152.0
BTTN,42,304712.0
BTTN,45,314568.0
BTTN,48,325832.0
BTTN,51,336392.0
BTTN,54,346952.0
BTTN,57,353288.0
BTTN,60,363144.0
CTTN,3,140464.0
CTTN,6,193264.0
CTTN,9,233592.0
CTTN,12,269496.0
CTTN,15,304696.0
CTTN,18,332856.0
CTTN,21,365944.0
CTTN,24,381432.0
CTTN,27,408888.0
CTTN,30,429304.0
CTTN,33,449720.0
CTTN,36,475160.0
CTTN,39,496280.0
CTTN,42,514584.0
CTTN,45,525144.0
CTTN,48,540632.0
CTTN,51,547672.0
CTTN,54,551896.0
CTTN,57,554712.0
CTTN,60,556824.0
QTT_Int,3,140464.0
QTT_Int,6,198896.0
QTT_Int,9,254712.0
QTT_Int,12,307512.0
QTT_Int,15,359608.0
QTT_Int,18,406776.0
QTT_Int,21,450424.0
QTT_Int,24,489848.0
QTT_Int,27,525752.0
QTT_Int,30,559544.0
QTT_Int,33,590520.0
QTT_Int,36,616664.0
QTT_Int,39,642008.0
QTT_Int,42,664536.0
QTT_Int,45,684952.0
QTT_Int,48,705368.0
QTT_Int,51,722968.0
QTT_Int,54,739160.0
QTT_Int,57,756760.0
QTT_Int,60,775064.0
TTTN,3,127808.0
TTTN,6,155264.0
TTTN,9,176584.0
TTTN,12,196296.0
TTTN,15,216712.0
TTTN,18,247688.0
TTTN,21,268808.0
TTTN,24,289224.0
TTTN,27,306824.0
TTTN,30,333576.0
TTTN,33,346952.0
TTTN,36,375912.0
TTTN,39,390696.0
TTTN,42,393512.0
TTTN,45,404776.0
TTTN,48,416744.0
TTTN,51,435048.0
TTTN,54,458984.0
TTTN,57,465320.0
TTTN,60,477288.0
