gf_name,topology,T,eta,maxbond,error_l1,mem_bytes
gf,QTT_Seq,50.0,0.5,5,0.05678837972149939,263824
gf,BTTN,50.0,0.5,5,0.06137810659939542,225760
gf,CTTN,50.0,0.5,5,0.0508028987645113,258000
gf,QTT_Int,50.0,0.5,5,3.151637932443219e-17,223888
gf,ITTN,50.0,0.5,5,3.1326211443293096e-17,197648
gf,QTT_Seq,50.0,0.5,10,0.04564606219023099,386328
gf,BTTN,50.0,0.5,10,0.03457772882522564,269224
gf,CTTN,50.0,0.5,10,0.03276754672341009,327256
gf,QTT_Int,50.0,0.5,10,3.0431904283588596e-17,223888
gf,ITTN,50.0,0.5,10,3.1652863048881815e-17,197648
gf,QTT_Seq,50.0,0.5,15,0.0435138253143899,478680
gf,BTTN,50.0,0.5,15,0.022571237594954427,301672
gf,CTTN,50.0,0.5,15,0.0332754086409922,363864
gf,QTT_Int,50.0,0.5,15,3.049868694836324e-17,223888
gf,ITTN,50.0,0.5,15,3.501837897459576e-17,197648
gf,QTT_Seq,50.0,0.5,20,0.034194447737052554,536920
gf,BTTN,50.0,0.5,20,0.010417628586425608,325800
gf,CTTN,50.0,0.5,20,0.031925910367809375,323928
gf,QTT_Int,50.0,0.5,20,3.340016199491079e-17,223888
gf,ITTN,50.0,0.5,20,2.9089971736881734e-17,197648
gf,QTT_Seq,50.0,0.5,25,0.04425346963228505,626776
gf,BTTN,50.0,0.5,25,0.006108244144523211,338280
gf,CTTN,50.0,0.5,25,0.027220312590891232,374680
gf,QTT_Int,50.0,0.5,25,3.219174776792355e-17,223888
gf,ITTN,50.0,0.5,25,2.91827978696719e-17,197648
gf,QTT_Seq,50.0,0.5,30,0.03492044148236562,658392
gf,BTTN,50.0,0.5,30,0.004187340411880141,366568
gf,CTTN,50.0,0.5,30,0.04151776671075133,347224
gf,QTT_Int,50.0,0.5,30,3.4313751135437724e-17,223888
gf,ITTN,50.0,0.5,30,2.977652465317349e-17,197648
gf,QTT_Seq,50.0,0.5,35,0.037488070434687,726584
gf,BTTN,50.0,0.5,35,0.005655315161675841,366536
gf,CTTN,50.0,0.5,35,0.04153353155639771,344728
gf,QTT_Int,50.0,0.5,35,2.924466770231503e-17,223888
gf,ITTN,50.0,0.5,35,3.49779992692215e-17,197648
gf,QTT_Seq,50.0,0.5,40,0.04347085234660766,782328
gf,BTTN,50.0,0.5,40,0.0029689378759799653,420616
gf,CTTN,50.0,0.5,40,0.02292803554193643,334744
gf,QTT_Int,50.0,0.5,40,3.133643266327027e-17,223888
gf,ITTN,50.0,0.5,40,2.8475739129610775e-17,197648
gf,QTT_Seq,50.0,0.5,45,0.03959555949632988,835576
gf,BTTN,50.0,0.5,45,0.0028236711283997013,418120
gf,CTTN,50.0,0.5,45,0.024020680888352127,329752
gf,QTT_Int,50.0,0.5,45,3.0621017778357965e-17,223888
gf,ITTN,50.0,0.5,45,2.9194451507250363e-17,197648
gf,QTT_Seq,50.0,0.5,50,0.042407024146595904,894648
gf,BTTN,50.0,0.5,50,0.0012880823790664755,438088
gf,CTTN,50.0,0.5,50,0.029813162220511766,333080
gf,QTT_Int,50.0,0.5,50,3.3105378012071915e-17,223888
gf,ITTN,50.0,0.5,50,2.818353828319804e-17,197648
