topo,maxbond,value
QTT_Seq,3,0.16256498283772494
QTT_Seq,6,0.17235199443912053
QTT_Seq,9,0.13478422919895777
QTT_Seq,12,0.1684045162559444
QTT_Seq,15,0.1539210022600499
QTT_Seq,18,0.15601146146455055
QTT_Seq,21,0.15076235827662715
QTT_Seq,24,0.16292198442343553
QTT_Seq,27,0.16375082985174885
QTT_Seq,30,0.16417897396309322
BTTN,3,0.12123931297120431
BTTN,6,0.11717529025662084
BTTN,9,0.12100329065087262
BTTN,12,0.1384555797639977
BTTN,15,0.12323044057837443
BTTN,18,0.12366628024553007
BTTN,21,0.13025905678943833
BTTN,24,0.14496501924515415
BTTN,27,0.12167626330730522
BTTN,30,0.11029341899373848
CTTN,3,0.13417036189510306
CTTN,6,0.1267608918396727
CTTN,9,0.13009952163156188
CTTN,12,0.12510968499257705
CTTN,15,0.127745830866838
CTTN,18,0.13701546683932692
CTTN,21,0.12926521937786042
CTTN,24,0.11270254148139199
CTTN,27,0.13091052607729575
CTTN,30,0.13153153123023723
QTT_Int,3,1.5609948508833916e-16
QTT_Int,6,1.7049817862681571e-16
QTT_Int,9,1.6273765978768887e-16
QTT_Int,12,1.6398790698497506e-16
QTT_Int,15,1.540433351314306e-16
QTT_Int,18,1.5194312439923853e-16
QTT_Int,21,1.4679366096894306e-16
QTT_Int,24,1.3892700340309479e-16
QTT_Int,27,1.6651906765492588e-16
QTT_Int,30,1.4837964336427813e-16
