topo,maxbond,bytes
QTT_Seq,3,109440.0
QTT_Seq,6,109440.0
QTT_Seq,9,109440.0
QTT_Seq,12,109440.0
QTT_Seq,15,109440.0
QTT_Seq,18,109440.0
QTT_Seq,21,109440.0
QTT_Seq,24,109440.0
QTT_Seq,27,109440.0
QTT_Seq,30,109440.0
BTTN,3,104432.0
BTTN,6,104432.0
BTTN,9,104432.0
BTTN,12,104432.0
BTTN,15,104432.0
BTTN,18,104432.0
BTTN,21,104432.0
BTTN,24,104432.0
BTTN,27,104432.0
BTTN,30,104432.0
CTTN,3,109440.0
CTTN,6,109440.0
CTTN,9,109440.0
CTTN,12,109440.0
CTTN,15,109440.0
CTTN,18,109440.0
CTTN,21,109440.0
CTTN,24,109440.0
CTTN,27,109440.0
CTTN,30,109440.0
QTT_Int,3,129904.0
QTT_Int,6,129904.0
QTT_Int,9,129904.0
QTT_Int,12,129904.0
QTT_Int,15,129904.0
QTT_Int,18,129904.0
QTT_Int,21,129904.0
QTT_Int,24,129904.0
QTT_Int,27,129904.0
QTT_Int,30,129904.0
