topo,A,B,maxbond,value
QTT_Seq,1.0,0.5,3,0.23463875158136582
QTT_Seq,1.0,0.5,6,0.23432721166631562
QTT_Seq,1.0,0.5,9,0.2291333218720458
QTT_Seq,1.0,0.5,12,0.23798468828713762
QTT_Seq,1.0,0.5,15,0.234449817500442
QTT_Seq,1.0,0.5,18,0.2265159046067199
QTT_Seq,1.0,0.5,21,0.23961927515295353
QTT_Seq,1.0,0.5,24,0.23623584491911473
QTT_Seq,1.0,0.5,27,0.23312770857015425
QTT_Seq,1.0,0.5,30,0.24050932505202394
QTT_Seq,1.0,2.0,3,0.3890387616415071
QTT_Seq,1.0,2.0,6,0.4068781837770329
QTT_Seq,1.0,2.0,9,0.3792132198429327
QTT_Seq,1.0,2.0,12,0.37757733082717065
QTT_Seq,1.0,2.0,15,0.38269782812986114
QTT_Seq,1.0,2.0,18,0.39607366035725117
QTT_Seq,1.0,2.0,21,0.36878552030052514
QTT_Seq,1.0,2.0,24,0.3826028614881389
QTT_Seq,1.0,2.0,27,0.37469739821571174
QTT_Seq,1.0,2.0,30,0.3877280399560058
QTT_Seq,1.0,5.0,3,0.26774970145494936
QTT_Seq,1.0,5.0,6,0.28595903007749046
QTT_Seq,1.0,5.0,9,0.27552323187135086
QTT_Seq,1.0,5.0,12,0.28309314827634596
QTT_Seq,1.0,5.0,15,0.2771682409582512
QTT_Seq,1.0,5.0,18,0.28646115813652434
QTT_Seq,1.0,5.0,21,0.286504029979579
QTT_Seq,1.0,5.0,24,0.27517111953885437
QTT_Seq,1.0,5.0,27,0.27167584670536854
QTT_Seq,1.0,5.0,30,0.2777238977027262
QTT_Seq,1.0,10.0,3,0.16420509824439852
QTT_Seq,1.0,10.0,6,0.15634028753796025
QTT_Seq,1.0,10.0,9,0.16098769975096183
QTT_Seq,1.0,10.0,12,0.1596176484489424
QTT_Seq,1.0,10.0,15,0.1693960053735469
QTT_Seq,1.0,10.0,18,0.16847637446949504
QTT_Seq,1.0,10.0,21,0.1724050383004452
QTT_Seq,1.0,10.0,24,0.1672036909608103
QTT_Seq,1.0,10.0,27,0.16908725738937228
QTT_Seq,1.0,10.0,30,0.16842656535448214
QTT_Seq,5.0,0.5,3,0.3738035144166109
QTT_Seq,5.0,0.5,6,0.3712426032087996
QTT_Seq,5.0,0.5,9,0.3701954182329114
QTT_Seq,5.0,0.5,12,0.3890770369114483
QTT_Seq,5.0,0.5,15,0.3725360231968033
QTT_Seq,5.0,0.5,18,0.3734478287759538
QTT_Seq,5.0,0.5,21,0.3906889304417313
QTT_Seq,5.0,0.5,24,0.377758533910605
QTT_Seq,5.0,0.5,27,0.3674153858716138
QTT_Seq,5.0,0.5,30,0.35661607652783855
QTT_Seq,5.0,2.0,3,0.16539294427830137
QTT_Seq,5.0,2.0,6,0.1821200599316034
QTT_Seq,5.0,2.0,9,0.1544214552257333
QTT_Seq,5.0,2.0,12,0.15157091296706418
QTT_Seq,5.0,2.0,15,0.17137190187088447
QTT_Seq,5.0,2.0,18,0.18354881776919726
QTT_Seq,5.0,2.0,21,0.17280782511087403
QTT_Seq,5.0,2.0,24,0.16475994886442924
QTT_Seq,5.0,2.0,27,0.16971763279589774
QTT_Seq,5.0,2.0,30,0.16194761352902215
QTT_Seq,5.0,5.0,3,0.06978384530316901
QTT_Seq,5.0,5.0,6,0.0889737955935563
QTT_Seq,5.0,5.0,9,0.07494752940975437
QTT_Seq,5.0,5.0,12,0.07059813563085145
QTT_Seq,5.0,5.0,15,0.07593536206697929
QTT_Seq,5.0,5.0,18,0.07212346815768308
QTT_Seq,5.0,5.0,21,0.0851869666187447
QTT_Seq,5.0,5.0,24,0.07305864505294922
QTT_Seq,5.0,5.0,27,0.0721984114885993
QTT_Seq,5.0,5.0,30,0.06426847602464694
QTT_Seq,5.0,10.0,3,0.04690754923727642
QTT_Seq,5.0,10.0,6,0.036285001496525575
QTT_Seq,5.0,10.0,9,0.04586225510956193
QTT_Seq,5.0,10.0,12,0.04102254050489931
QTT_Seq,5.0,10.0,15,0.03877060732101821
QTT_Seq,5.0,10.0,18,0.03729387981475906
QTT_Seq,5.0,10.0,21,0.03887449284557248
QTT_Seq,5.0,10.0,24,0.04094031319278455
QTT_Seq,5.0,10.0,27,0.03884029618956132
QTT_Seq,5.0,10.0,30,0.04286928864788921
QTT_Seq,15.0,0.5,3,0.21381290066651257
QTT_Seq,15.0,0.5,6,0.2142761294609833
QTT_Seq,15.0,0.5,9,0.21988262159094774
QTT_Seq,15.0,0.5,12,0.1948404140812949
QTT_Seq,15.0,0.5,15,0.2096191168761096
QTT_Seq,15.0,0.5,18,0.21312645480064207
QTT_Seq,15.0,0.5,21,0.20858811647504502
QTT_Seq,15.0,0.5,24,0.22332087486315616
QTT_Seq,15.0,0.5,27,0.2141941906350561
QTT_Seq,15.0,0.5,30,0.2212707401158673
QTT_Seq,15.0,2.0,3,0.06523777992606665
QTT_Seq,15.0,2.0,6,0.06657232959894978
QTT_Seq,15.0,2.0,9,0.06535645005653745
QTT_Seq,15.0,2.0,12,0.06003681713328225
QTT_Seq,15.0,2.0,15,0.06521102554578762
QTT_Seq,15.0,2.0,18,0.06022474642260351
QTT_Seq,15.0,2.0,21,0.06420996908926435
QTT_Seq,15.0,2.0,24,0.05182640649559135
QTT_Seq,15.0,2.0,27,0.07190450841969934
QTT_Seq,15.0,2.0,30,0.06743628290113148
QTT_Seq,15.0,5.0,3,0.027234405045229258
QTT_Seq,15.0,5.0,6,0.023889574613001816
QTT_Seq,15.0,5.0,9,0.02180147104641819
QTT_Seq,15.0,5.0,12,0.03402983025312854
QTT_Seq,15.0,5.0,15,0.020832859565617833
