topo,A,B,maxbond,bytes
QTT_Seq,1.0,0.5,3,195600.0
QTT_Seq,1.0,0.5,6,241360.0
QTT_Seq,1.0,0.5,9,241360.0
QTT_Seq,1.0,0.5,12,241360.0
QTT_Seq,1.0,0.5,15,241360.0
QTT_Seq,1.0,0.5,18,241360.0
QTT_Seq,1.0,0.5,21,241360.0
QTT_Seq,1.0,0.5,24,241360.0
QTT_Seq,1.0,0.5,27,241360.0
QTT_Seq,1.0,0.5,30,241360.0
QTT_Seq,1.0,2.0,3,195600.0
QTT_Seq,1.0,2.0,6,241360.0
QTT_Seq,1.0,2.0,9,241360.0
QTT_Seq,1.0,2.0,12,241360.0
QTT_Seq,1.0,2.0,15,241360.0
QTT_Seq,1.0,2.0,18,241360.0
QTT_Seq,1.0,2.0,21,241360.0
QTT_Seq,1.0,2.0,24,241360.0
QTT_Seq,1.0,2.0,27,241360.0
QTT_Seq,1.0,2.0,30,241360.0
QTT_Seq,1.0,5.0,3,194768.0
QTT_Seq,1.0,5.0,6,241360.0
QTT_Seq,1.0,5.0,9,241360.0
QTT_Seq,1.0,5.0,12,241360.0
QTT_Seq,1.0,5.0,15,241360.0
QTT_Seq,1.0,5.0,18,241360.0
QTT_Seq,1.0,5.0,21,241360.0
QTT_Seq,1.0,5.0,24,241360.0
QTT_Seq,1.0,5.0,27,241360.0
QTT_Seq,1.0,5.0,30,241360.0
QTT_Seq,1.0,10.0,3,194768.0
QTT_Seq,1.0,10.0,6,241360.0
QTT_Seq,1.0,10.0,9,241360.0
QTT_Seq,1.0,10.0,12,241360.0
QTT_Seq,1.0,10.0,15,241360.0
QTT_Seq,1.0,10.0,18,241360.0
QTT_Seq,1.0,10.0,21,241360.0
QTT_Seq,1.0,10.0,24,241360.0
QTT_Seq,1.0,10.0,27,241360.0
QTT_Seq,1.0,10.0,30,241360.0
QTT_Seq,5.0,0.5,3,194768.0
QTT_Seq,5.0,0.5,6,241360.0
QTT_Seq,5.0,0.5,9,241360.0
QTT_Seq,5.0,0.5,12,241360.0
QTT_Seq,5.0,0.5,15,241360.0
QTT_Seq,5.0,0.5,18,241360.0
QTT_Seq,5.0,0.5,21,241360.0
QTT_Seq,5.0,0.5,24,241360.0
QTT_Seq,5.0,0.5,27,241360.0
QTT_Seq,5.0,0.5,30,241360.0
QTT_Seq,5.0,2.0,3,194768.0
QTT_Seq,5.0,2.0,6,241360.0
QTT_Seq,5.0,2.0,9,241360.0
QTT_Seq,5.0,2.0,12,241360.0
QTT_Seq,5.0,2.0,15,241360.0
QTT_Seq,5.0,2.0,18,241360.0
QTT_Seq,5.0,2.0,21,241360.0
QTT_Seq,5.0,2.0,24,241360.0
QTT_Seq,5.0,2.0,27,241360.0
QTT_Seq,5.0,2.0,30,241360.0
QTT_Seq,5.0,5.0,3,194768.0
QTT_Seq,5.0,5.0,6,241360.0
QTT_Seq,5.0,5.0,9,241360.0
QTT_Seq,5.0,5.0,12,241360.0
QTT_Seq,5.0,5.0,15,241360.0
QTT_Seq,5.0,5.0,18,241360.0
QTT_Seq,5.0,5.0,21,241360.0
QTT_Seq,5.0,5.0,24,241360.0
QTT_Seq,5.0,5.0,27,241360.0
