gf_name,topology,T,eta,maxbond,error_l1,mem_bytes
gk,QTT,50.0,0.001,20,1.105876486477091,1129080
gk,ITTN,50.0,0.001,20,1.301452623771212,1665848
gk,CTTN,50.0,0.001,20,0.48833484354505574,1062408
gk,QTT,50.0,0.001,40,0.9439568472005575,1413272
gk,ITTN,50.0,0.001,40,0.649297118339209,2842200
gk,CTTN,50.0,0.001,40,0.09217390411936836,1233768
gk,QTT,50.0,0.001,60,0.695840735435621,1603512
gk,ITTN,50.0,0.001,60,0.3499902791516039,4082040
gk,CTTN,50.0,0.001,60,0.0005393182265151556,1320360
gk,QTT,50.0,0.001,80,0.5222240349110655,1754392
gk,ITTN,50.0,0.001,80,0.17305857906571753,5037176
gk,CTTN,50.0,0.001,80,1.2297315407119768e-6,1372840
gk,QTT,50.0,0.001,100,0.2180348309220009,1863288
gk,ITTN,50.0,0.001,100,0.042934552634918084,6102520
gk,CTTN,50.0,0.001,100,3.202482540576726e-9,1403016
gk,QTT,50.0,0.001,120,0.05312246844866779,1927576
gk,ITTN,50.0,0.001,120,0.0005536772129630932,7169176
gk,CTTN,50.0,0.001,120,2.58819871869176e-9,1408264
gk,QTT,50.0,0.001,140,0.0015599957203057569,1980632
gk,ITTN,50.0,0.001,140,5.937285958048274e-5,8242968
gk,CTTN,50.0,0.001,140,2.2166666794058002e-9,1408264
gk,QTT,50.0,0.001,160,1.665629266380506e-5,1999000
gk,ITTN,50.0,0.001,160,0.0001264133811418104,8930456
gk,CTTN,50.0,0.001,160,2.408136937641284e-9,1410888
gk,QTT,50.0,0.001,180,3.750280012889674e-8,2034424
gk,ITTN,50.0,0.001,180,7.953703749294535e-5,9645496
gk,CTTN,50.0,0.001,180,2.702354401100494e-9,1409576
gk,QTT,50.0,0.001,200,2.442007881956366e-9,2055416
gk,ITTN,50.0,0.001,200,8.293894444374749e-5,10393336
gk,CTTN,50.0,0.001,200,2.5470699352619327e-9,1414824
gk,QTT,50.0,0.01,20,0.6357138907576049,1155320
gk,ITTN,50.0,0.01,20,0.9268830157201527,1709144
gk,CTTN,50.0,0.01,20,0.2675591470148734,1093896
gk,QTT,50.0,0.01,40,0.7573134248944504,1460504
gk,ITTN,50.0,0.01,40,0.42751627345611415,2860568
gk,CTTN,50.0,0.01,40,0.042966032488999446,1266568
gk,QTT,50.0,0.01,60,0.4224675569164646,1661240
gk,ITTN,50.0,0.01,60,0.18120830398611748,4131896
gk,CTTN,50.0,0.01,60,0.00037701571941568416,1367592
gk,QTT,50.0,0.01,80,0.24226631205296328,1802936
gk,ITTN,50.0,0.01,80,0.04077073353734882,5185432
gk,CTTN,50.0,0.01,80,1.4452687984415723e-6,1425320
gk,QTT,50.0,0.01,100,0.08494969304462258,1911832
gk,ITTN,50.0,0.01,100,0.009701505413094518,6182552
gk,CTTN,50.0,0.01,100,3.765294944196355e-9,1454184
gk,QTT,50.0,0.01,120,0.009664964714165053,1972184
gk,ITTN,50.0,0.01,120,0.0010452945403524763,7258392
gk,CTTN,50.0,0.01,120,1.9177664256099313e-9,1464680
gk,QTT,50.0,0.01,140,0.00030059724736272736,2026552
gk,ITTN,50.0,0.01,140,0.0009348008403998679,8236408
gk,CTTN,50.0,0.01,140,2.215622752012419e-9,1452872
gk,QTT,50.0,0.01,160,4.455237553025107e-6,2048856
gk,ITTN,50.0,0.01,160,0.0007075844615519823,9014424
gk,CTTN,50.0,0.01,160,1.6762361548729078e-9,1467304
gk,QTT,50.0,0.01,180,2.634089626797841e-8,2082968
gk,ITTN,50.0,0.01,180,0.0007142933727499469,10023352
gk,CTTN,50.0,0.01,180,1.2165349064597343e-9,1467304
gk,QTT,50.0,0.01,200,1.518044736174131e-9,2105272
gk,ITTN,50.0,0.01,200,0.000627482314056361,10908952
gk,CTTN,50.0,0.01,200,1.7742199973879418e-9,1472552
gk,QTT,50.0,0.1,20,0.28424457342291926,1168440
gk,ITTN,50.0,0.1,20,0.3303532471332676,1685528
gk,CTTN,50.0,0.1,20,0.049352998693286104,1113576
gk,QTT,50.0,0.1,40,0.23295632792785034,1489368
gk,ITTN,50.0,0.1,40,0.10315651511071694,2886808
gk,CTTN,50.0,0.1,40,0.0012812493260004475,1313800
gk,QTT,50.0,0.1,60,0.10267212146870247,1704536
gk,ITTN,50.0,0.1,60,0.040382897417649694,4160760
gk,CTTN,50.0,0.1,60,1.0303024051379411e-5,1420072
gk,QTT,50.0,0.1,80,0.026750069670617316,1858040
gk,ITTN,50.0,0.1,80,0.02982577403841219,5269400
gk,CTTN,50.0,0.1,80,2.804665239694791e-8,1475176
gk,QTT,50.0,0.1,100,0.005536607775945552,1928888
gk,ITTN,50.0,0.1,100,0.02205044093642945,6307192
gk,CTTN,50.0,0.1,100,1.283865521387438e-9,1489608
gk,QTT,50.0,0.1,120,0.0005052480333913021,1995800
gk,ITTN,50.0,0.1,120,0.029620513464325145,7444696
gk,CTTN,50.0,0.1,120,9.543295523080327e-10,1489608
gk,QTT,50.0,0.1,140,1.0837264075411921e-7,2038360
gk,ITTN,50.0,0.1,140,0.013619019231554568,8396472
gk,CTTN,50.0,0.1,140,1.0700798577165343e-9,1497480
gk,QTT,50.0,0.1,160,2.8513372840387053e-9,2067224
gk,ITTN,50.0,0.1,160,0.01019126316520525,9341112
gk,CTTN,50.0,0.1,160,9.261284227751368e-10,1496168
gk,QTT,50.0,0.1,180,1.0788888804948833e-9,2092152
gk,ITTN,50.0,0.1,180,0.009956160367612158,10317240
gk,CTTN,50.0,0.1,180,7.369076608266314e-10,1502728
gk,QTT,50.0,0.1,200,1.0125655990920377e-9,2088216
gk,ITTN,50.0,0.1,200,0.009934330565031504,11235640
gk,CTTN,50.0,0.1,200,1.0469920834494117e-9,1497480
gk,QTT,50.0,0.0,20,2.661192776216692,969016
gk,ITTN,50.0,0.0,20,2.9069720123851144,1509720
