topo,maxbond,value
QTT_Alt2,50,0.3756447652881204
QTT_Alt2,100,0.10840060379738198
QTT_Alt2,150,0.04608878940049872
QTT_Alt2,200,0.022905036554833936
QTT_Alt2,250,0.01233256249958039
QTT_Alt2,300,0.005326037932720287
QTT_Alt2,350,0.0026558646122609923
QTT_Alt2,400,0.0013074918566139625
QTT_Alt,50,0.3598289646948594
QTT_Alt,100,0.11685679643051168
QTT_Alt,150,0.05282602766682299
QTT_Alt,200,0.026639104818101497
QTT_Alt,250,0.009958277877266669
QTT_Alt,300,0.004686963481427289
QTT_Alt,350,0.0021184264522998105
QTT_Alt,400,0.0012887685092356723
CTTN_Alt2,50,0.27041190785433283
CTTN_Alt2,100,0.1358231143979324
CTTN_Alt2,150,0.04861599033012387
CTTN_Alt2,200,0.02266944709291979
CTTN_Alt2,250,0.011233860600622637
CTTN_Alt2,300,0.004580902858250531
CTTN_Alt2,350,0.0026193101465912484
CTTN_Alt2,400,0.001290424774663953
