topo,maxbond,bytes
QTT_Alt2,50,2.496984e6
QTT_Alt2,100,3.81948e6
QTT_Alt2,150,4.968056e6
QTT_Alt2,200,6.005848e6
QTT_Alt2,250,6.970168e6
QTT_Alt2,300,7.761304e6
QTT_Alt2,350,8.559e6
QTT_Alt2,400,9.29372e6
QTT_Alt,50,2.495672e6
QTT_Alt,100,3.829976e6
QTT_Alt,150,4.94444e6
QTT_Alt,200,5.978296e6
QTT_Alt,250,6.891448e6
QTT_Alt,300,7.690456e6
QTT_Alt,350,8.482904e6
QTT_Alt,400,9.170392e6
CTTN_Alt2,50,2.257128e6
CTTN_Alt2,100,3.30148e6
CTTN_Alt2,150,4.20996e6
CTTN_Alt2,200,5.058824e6
CTTN_Alt2,250,5.819784e6
CTTN_Alt2,300,6.54532e6
CTTN_Alt2,350,7.272168e6
CTTN_Alt2,400,7.950472e6
