topo,eta,time,maxbond,value
QTT_Alt2,0.001,10.0,20,1.8360530269306252
QTT_Alt2,0.001,10.0,50,0.4445074680187496
QTT_Alt2,0.001,10.0,100,0.01817727039830274
QTT_Alt2,0.001,10.0,150,0.0011755695269151443
QTT_Alt2,0.001,10.0,200,7.214862869662728e-5
QTT_Alt2,0.001,10.0,250,8.386395647104562e-6
QTT_Alt2,0.001,10.0,300,9.256974676408405e-7
QTT_Alt2,0.001,50.0,20,1.4364302655494285
QTT_Alt2,0.001,50.0,50,0.2920091099812096
QTT_Alt2,0.001,50.0,100,0.03546695203675098
QTT_Alt2,0.001,50.0,150,0.008134599940280561
QTT_Alt2,0.001,50.0,200,0.002361713665334617
QTT_Alt2,0.001,50.0,250,0.0007273156867280075
QTT_Alt2,0.001,50.0,300,0.00026691567426433653
QTT_Alt2,0.001,100.0,20,1.2905760479966144
QTT_Alt2,0.001,100.0,50,0.47630175192339563
QTT_Alt2,0.001,100.0,100,0.12705010442638615
QTT_Alt2,0.001,100.0,150,0.033727837922675453
QTT_Alt2,0.001,100.0,200,0.014933578933434801
QTT_Alt2,0.001,100.0,250,0.005464274187722297
QTT_Alt2,0.001,100.0,300,0.002153739711817347
QTT_Alt2,0.001,200.0,20,2.0342458187635644
QTT_Alt2,0.001,200.0,50,1.2581012483335927
QTT_Alt2,0.001,200.0,100,0.4174780126873631
QTT_Alt2,0.001,200.0,150,0.15684471060076655
QTT_Alt2,0.001,200.0,200,0.08316816408999582
QTT_Alt2,0.001,200.0,250,0.03612273514360631
QTT_Alt2,0.001,200.0,300,0.018670946702382646
QTT_Alt2,0.01,10.0,20,1.3841371881875308
QTT_Alt2,0.01,10.0,50,0.3731316365341412
QTT_Alt2,0.01,10.0,100,0.015701486863737377
QTT_Alt2,0.01,10.0,150,0.0011905620859037054
QTT_Alt2,0.01,10.0,200,0.00012096060744312375
QTT_Alt2,0.01,10.0,250,1.3100656508545632e-5
QTT_Alt2,0.01,10.0,300,1.4429806133024855e-6
QTT_Alt2,0.01,50.0,20,0.9196517856491268
QTT_Alt2,0.01,50.0,50,0.2804867000756178
QTT_Alt2,0.01,50.0,100,0.05295367571637165
QTT_Alt2,0.01,50.0,150,0.015119112281441907
QTT_Alt2,0.01,50.0,200,0.005744195177205072
QTT_Alt2,0.01,50.0,250,0.0019797481337177807
QTT_Alt2,0.01,50.0,300,0.0008408934318073898
QTT_Alt2,0.01,100.0,20,0.6962457275247468
QTT_Alt2,0.01,100.0,50,0.4639722409687243
QTT_Alt2,0.01,100.0,100,0.11580585296115084
QTT_Alt2,0.01,100.0,150,0.04989110134844578
QTT_Alt2,0.01,100.0,200,0.02236471606413933
QTT_Alt2,0.01,100.0,250,0.010251435212602562
QTT_Alt2,0.01,100.0,300,0.004884494929363468
QTT_Alt2,0.01,200.0,20,1.076991146084602
QTT_Alt2,0.01,200.0,50,0.69588943669171
QTT_Alt2,0.01,200.0,100,0.40239180741041775
QTT_Alt2,0.01,200.0,150,0.21983042397104513
QTT_Alt2,0.01,200.0,200,0.12678347928642286
QTT_Alt2,0.01,200.0,250,0.08013761027152964
QTT_Alt2,0.01,200.0,300,0.03806938515316924
QTT_Alt2,0.1,10.0,20,0.8557940033963737
QTT_Alt2,0.1,10.0,50,0.21879031534920576
QTT_Alt2,0.1,10.0,100,0.0138661335856677
QTT_Alt2,0.1,10.0,150,0.0010041036951795388
QTT_Alt2,0.1,10.0,200,9.821178155192691e-5
QTT_Alt2,0.1,10.0,250,1.0011523987313304e-5
QTT_Alt2,0.1,10.0,300,1.3641806764291043e-6
QTT_Alt2,0.1,50.0,20,0.46199412818766805
QTT_Alt2,0.1,50.0,50,0.2707242338320065
QTT_Alt2,0.1,50.0,100,0.059049328325152854
QTT_Alt2,0.1,50.0,150,0.01654363375724707
QTT_Alt2,0.1,50.0,200,0.005669652908325678
QTT_Alt2,0.1,50.0,250,0.002510000199968117
QTT_Alt2,0.1,50.0,300,0.0010403529841805706
QTT_Alt2,0.1,100.0,20,0.3448986259052154
QTT_Alt2,0.1,100.0,50,0.335124463729571
QTT_Alt2,0.1,100.0,100,0.126752244053466
QTT_Alt2,0.1,100.0,150,0.059138839304749835
QTT_Alt2,0.1,100.0,200,0.0245255225228736
QTT_Alt2,0.1,100.0,250,0.012762241117679027
QTT_Alt2,0.1,100.0,300,0.007429446516215458
QTT_Alt2,0.1,200.0,20,0.3171596558145388
QTT_Alt2,0.1,200.0,50,0.47345554630914866
QTT_Alt2,0.1,200.0,100,0.4557243956847829
QTT_Alt2,0.1,200.0,150,0.21895075432348285
QTT_Alt2,0.1,200.0,200,0.12997361053942869
QTT_Alt2,0.1,200.0,250,0.0721533114543951
QTT_Alt2,0.1,200.0,300,0.04723815023633784
QTT_Alt2,0.0,10.0,20,1.9375042652628727
QTT_Alt2,0.0,10.0,50,0.4630064163418677
QTT_Alt2,0.0,10.0,100,0.016601994020305023
QTT_Alt2,0.0,10.0,150,0.0009129112070273118
QTT_Alt2,0.0,10.0,200,6.041010194646248e-5
QTT_Alt2,0.0,10.0,250,4.252595911728939e-6
QTT_Alt2,0.0,10.0,300,3.7713301771223647e-7
QTT_Alt2,0.0,50.0,20,1.710832541643384
QTT_Alt2,0.0,50.0,50,0.3198726267660841
QTT_Alt2,0.0,50.0,100,0.021160462845896857
QTT_Alt2,0.0,50.0,150,0.0015246720568082575
QTT_Alt2,0.0,50.0,200,0.0001266310537808616
QTT_Alt2,0.0,50.0,250,1.403982320240637e-5
QTT_Alt2,0.0,50.0,300,1.6368279726265884e-6
QTT_Alt2,0.0,100.0,20,2.083589232190908
QTT_Alt2,0.0,100.0,50,0.6316272273191041
