topo,maxbond,value
QTT_Seq,3,0.5604641310198322
QTT_Seq,6,0.0010049413596384992
QTT_Seq,9,7.885609200000004e-8
QTT_Seq,12,7.659526935675543e-8
QTT_Seq,15,7.910229065512361e-8
QTT_Seq,18,7.937296375598777e-8
QTT_Seq,21,8.053174886951242e-8
QTT_Seq,24,7.806608229085093e-8
QTT_Seq,27,7.971596150935408e-8
QTT_Seq,30,7.804544287801084e-8
QTT_Seq,33,8.246919614545312e-8
QTT_Seq,36,8.143839603111033e-8
QTT_Seq,39,8.381683152320751e-8
QTT_Seq,42,8.278746191732835e-8
QTT_Seq,45,8.132601032484564e-8
QTT_Seq,48,8.095624979071597e-8
QTT_Seq,51,7.813699188279934e-8
QTT_Seq,54,7.959088225649793e-8
QTT_Seq,57,8.00240455237286e-8
QTT_Seq,60,8.27203203306974e-8
BTTN,3,0.7875599065237002
BTTN,6,0.06357898317500592
BTTN,9,0.0008604069227843774
BTTN,12,7.059491147392953e-8
BTTN,15,2.763923267208937e-8
BTTN,18,2.8151133052484525e-8
BTTN,21,2.7255002538533955e-8
BTTN,24,2.902533159221789e-8
BTTN,27,2.7114510077613785e-8
BTTN,30,2.6924235668965246e-8
BTTN,33,2.594053286483289e-8
BTTN,36,2.927256781422652e-8
BTTN,39,2.5801347735914164e-8
BTTN,42,2.6991029788326833e-8
BTTN,45,2.633675723686876e-8
BTTN,48,2.5216864110382068e-8
BTTN,51,2.7047590987082718e-8
BTTN,54,2.7942384232166466e-8
BTTN,57,2.766848627721013e-8
BTTN,60,2.583474334635601e-8
CTTN,3,0.5525565958843813
CTTN,6,0.0011192754141288416
CTTN,9,7.697252928636562e-8
CTTN,12,8.173245261708568e-8
CTTN,15,8.223744066230415e-8
CTTN,18,8.290211281178366e-8
CTTN,21,8.264928708321892e-8
CTTN,24,7.923645791950776e-8
CTTN,27,8.266656985493203e-8
CTTN,30,8.304513323889421e-8
CTTN,33,7.836369696636453e-8
CTTN,36,8.213502997677334e-8
CTTN,39,8.38773492623764e-8
CTTN,42,7.88821158830518e-8
CTTN,45,7.776631888621092e-8
CTTN,48,7.858999740521095e-8
CTTN,51,8.048142707362157e-8
CTTN,54,8.364879089829517e-8
CTTN,57,7.846247474756034e-8
CTTN,60,7.89867957993462e-8
QTT_Int,3,0.5767552494729855
QTT_Int,6,0.0012412604943539613
QTT_Int,9,8.19052416906542e-8
QTT_Int,12,7.861292288588277e-8
QTT_Int,15,7.642980575773e-8
QTT_Int,18,7.910132684613245e-8
QTT_Int,21,8.376357805449679e-8
QTT_Int,24,8.203254983826965e-8
QTT_Int,27,7.96108485974752e-8
QTT_Int,30,8.359081067764104e-8
QTT_Int,33,7.782392598348203e-8
QTT_Int,36,8.34149537671e-8
QTT_Int,39,7.97225017855627e-8
QTT_Int,42,7.72533745420998e-8
QTT_Int,45,8.064598847667146e-8
QTT_Int,48,8.057759578516184e-8
QTT_Int,51,8.095147527840702e-8
QTT_Int,54,8.087673663404251e-8
QTT_Int,57,8.122329097660051e-8
QTT_Int,60,7.839636955345522e-8
