topo,maxbond,bytes
QTT_Seq,3,140464.0
QTT_Seq,6,187632.0
QTT_Seq,9,225144.0
QTT_Seq,12,257528.0
QTT_Seq,15,287800.0
QTT_Seq,18,315256.0
QTT_Seq,21,340600.0
QTT_Seq,24,363832.0
QTT_Seq,27,373688.0
QTT_Seq,30,373688.0
QTT_Seq,33,373688.0
QTT_Seq,36,373688.0
QTT_Seq,39,373688.0
QTT_Seq,42,373688.0
QTT_Seq,45,373688.0
QTT_Seq,48,373688.0
QTT_Seq,51,373688.0
QTT_Seq,54,373688.0
QTT_Seq,57,373688.0
QTT_Seq,60,373688.0
BTTN,3,125600.0
BTTN,6,150944.0
BTTN,9,164520.0
BTTN,12,173672.0
BTTN,15,179304.0
BTTN,18,182824.0
BTTN,21,184936.0
BTTN,24,184936.0
BTTN,27,184936.0
BTTN,30,184936.0
BTTN,33,184936.0
BTTN,36,184936.0
BTTN,39,184936.0
BTTN,42,184936.0
BTTN,45,184936.0
BTTN,48,184936.0
BTTN,51,184936.0
BTTN,54,184936.0
BTTN,57,184936.0
BTTN,60,184936.0
CTTN,3,140464.0
CTTN,6,178480.0
CTTN,9,199800.0
CTTN,12,213880.0
CTTN,15,223032.0
CTTN,18,229368.0
CTTN,21,232184.0
CTTN,24,232184.0
CTTN,27,232184.0
CTTN,30,232184.0
CTTN,33,232184.0
CTTN,36,232184.0
CTTN,39,232184.0
CTTN,42,232184.0
CTTN,45,232184.0
CTTN,48,232184.0
CTTN,51,232184.0
CTTN,54,232184.0
CTTN,57,232184.0
CTTN,60,232184.0
QTT_Int,3,140464.0
QTT_Int,6,196784.0
QTT_Int,9,239928.0
QTT_Int,12,273016.0
QTT_Int,15,301880.0
QTT_Int,18,325112.0
QTT_Int,21,343416.0
QTT_Int,24,359608.0
QTT_Int,27,372984.0
QTT_Int,30,387768.0
QTT_Int,33,398328.0
QTT_Int,36,406872.0
QTT_Int,39,412504.0
QTT_Int,42,417432.0
QTT_Int,45,418840.0
QTT_Int,48,419544.0
QTT_Int,51,419544.0
QTT_Int,54,419544.0
QTT_Int,57,419544.0
QTT_Int,60,419544.0
