topo,maxbond,bytes
QTT_Seq,3,288944.0
QTT_Seq,6,399344.0
QTT_Seq,9,499384.0
QTT_Seq,12,590584.0
QTT_Seq,15,678904.0
QTT_Seq,18,763384.0
QTT_Seq,21,845944.0
QTT_Seq,24,927544.0
QTT_Seq,27,990904.0
QTT_Seq,30,1.029304e6
QTT_Seq,33,1.077304e6
QTT_Seq,36,1.121304e6
QTT_Seq,39,1.160664e6
QTT_Seq,42,1.198104e6
QTT_Seq,45,1.228824e6
QTT_Seq,48,1.258584e6
QTT_Seq,51,1.278744e6
QTT_Seq,54,1.296024e6
QTT_Seq,57,1.299864e6
QTT_Seq,60,1.305624e6
BTTN,3,263920.0
BTTN,6,316720.0
BTTN,9,345720.0
BTTN,12,364920.0
BTTN,15,378360.0
BTTN,18,387000.0
BTTN,21,392760.0
BTTN,24,398520.0
BTTN,27,399480.0
BTTN,30,399480.0
BTTN,33,399480.0
BTTN,36,399480.0
BTTN,39,399480.0
BTTN,42,399480.0
BTTN,45,399480.0
BTTN,48,399480.0
BTTN,51,399480.0
BTTN,54,399480.0
BTTN,57,399480.0
BTTN,60,399480.0
CTTN,3,291664.0
CTTN,6,367504.0
CTTN,9,413784.0
CTTN,12,442584.0
CTTN,15,462744.0
CTTN,18,481944.0
CTTN,21,488664.0
CTTN,24,492504.0
CTTN,27,495384.0
CTTN,30,495384.0
CTTN,33,495384.0
CTTN,36,495384.0
CTTN,39,495384.0
CTTN,42,495384.0
CTTN,45,495384.0
CTTN,48,495384.0
CTTN,51,495384.0
CTTN,54,495384.0
CTTN,57,495384.0
CTTN,60,495384.0
QTT_Int,3,288944.0
QTT_Int,6,414704.0
QTT_Int,9,532024.0
QTT_Int,12,634744.0
QTT_Int,15,725944.0
QTT_Int,18,809464.0
QTT_Int,21,880504.0
QTT_Int,24,955384.0
QTT_Int,27,1.016824e6
QTT_Int,30,1.072504e6
QTT_Int,33,1.133944e6
QTT_Int,36,1.180824e6
QTT_Int,39,1.229784e6
QTT_Int,42,1.276824e6
QTT_Int,45,1.320024e6
QTT_Int,48,1.354584e6
QTT_Int,51,1.388184e6
QTT_Int,54,1.425624e6
QTT_Int,57,1.457304e6
QTT_Int,60,1.484184e6
