topo,maxbond,value
QTT_Seq,3,0.11700409135836447
QTT_Seq,6,0.04930190105511204
QTT_Seq,9,0.01118039403317847
QTT_Seq,12,0.002795566755221183
QTT_Seq,15,0.0007644604227762866
QTT_Seq,18,0.00017146125627154462
QTT_Seq,21,6.538018935119056e-5
QTT_Seq,24,3.0819186543644536e-5
QTT_Seq,27,7.337399154905555e-6
QTT_Seq,30,3.590840131306353e-6
QTT_Seq,33,9.29496756201258e-7
QTT_Seq,36,4.902960815465038e-7
QTT_Seq,39,1.4400951427107022e-7
QTT_Seq,42,3.2124816537634634e-8
QTT_Seq,45,2.2907784957966318e-8
QTT_Seq,48,4.324532570367792e-9
QTT_Seq,51,1.685910712763579e-9
QTT_Seq,54,1.7912351646325422e-9
QTT_Seq,57,8.978802405215875e-10
QTT_Seq,60,2.4340439585739202e-9
BTTN,3,0.08249908610262081
BTTN,6,0.005419904965567462
BTTN,9,0.0007473355755790001
BTTN,12,0.0001632697912171727
BTTN,15,7.7530567895284e-5
BTTN,18,7.295774777056694e-6
BTTN,21,3.2363585842630564e-6
BTTN,24,8.479083930739403e-7
BTTN,27,2.6215127107945757e-7
BTTN,30,1.605667245538063e-8
BTTN,33,7.398130152614068e-9
BTTN,36,3.215562857641723e-9
BTTN,39,2.332132462271299e-9
BTTN,42,1.6668993778958278e-10
BTTN,45,1.7693406336024773e-10
BTTN,48,1.8381021524722364e-10
BTTN,51,1.7355775154958978e-10
BTTN,54,1.8440155870262085e-10
BTTN,57,1.8364690110956542e-10
BTTN,60,1.7052780017522183e-10
CTTN,3,0.12112312622394245
CTTN,6,0.01653878202723571
CTTN,9,0.0015445215449103706
CTTN,12,0.00034181822895323395
CTTN,15,0.0001728544968936096
CTTN,18,3.160795015790716e-5
CTTN,21,2.7412630189327118e-5
CTTN,24,8.160575765390666e-6
CTTN,27,2.198084463810136e-6
CTTN,30,9.331700283740345e-7
CTTN,33,2.3120687736100776e-7
CTTN,36,4.702343234457419e-8
CTTN,39,1.5736493762859152e-8
CTTN,42,3.5735239443438447e-9
CTTN,45,6.923968151231589e-10
CTTN,48,2.946722649214593e-10
CTTN,51,5.285380654119744e-10
CTTN,54,3.515843213585214e-10
CTTN,57,3.540620430342691e-9
CTTN,60,4.753859083795908e-10
QTT_Int,3,0.12389610517507436
QTT_Int,6,0.07429650339336992
QTT_Int,9,0.015823490002119717
QTT_Int,12,0.006848524527326119
QTT_Int,15,0.001595265904611946
QTT_Int,18,0.0006307371286418808
QTT_Int,21,0.000156605870354827
QTT_Int,24,5.1611226829550136e-5
QTT_Int,27,1.6172865714726967e-5
QTT_Int,30,3.5255341939504834e-6
QTT_Int,33,1.075128729577303e-6
QTT_Int,36,4.50874200721978e-7
QTT_Int,39,1.6691449354543074e-7
QTT_Int,42,8.112895254169293e-8
QTT_Int,45,2.269513990612922e-8
QTT_Int,48,1.1468109681400401e-8
QTT_Int,51,3.729456033312517e-9
QTT_Int,54,1.9017477033523654e-9
QTT_Int,57,1.0145745104314977e-9
QTT_Int,60,9.050745583014737e-10
