topo,maxbond,bytes
QTT_Seq,3,140464.0
QTT_Seq,6,192560.0
QTT_Seq,9,236408.0
QTT_Seq,12,289912.0
QTT_Seq,15,320184.0
QTT_Seq,18,361720.0
QTT_Seq,21,411000.0
QTT_Seq,24,441272.0
QTT_Seq,27,474360.0
QTT_Seq,30,518008.0
QTT_Seq,33,546872.0
QTT_Seq,36,567384.0
QTT_Seq,39,588504.0
QTT_Seq,42,613144.0
QTT_Seq,45,629336.0
QTT_Seq,48,647640.0
QTT_Seq,51,659608.0
QTT_Seq,54,659608.0
QTT_Seq,57,669464.0
QTT_Seq,60,668760.0
BTTN,3,125600.0
BTTN,6,154464.0
BTTN,9,175080.0
BTTN,12,192680.0
BTTN,15,207464.0
BTTN,18,219432.0
BTTN,21,229992.0
BTTN,24,240552.0
BTTN,27,251112.0
BTTN,30,261672.0
BTTN,33,272232.0
BTTN,36,282184.0
BTTN,39,285704.0
BTTN,42,289928.0
BTTN,45,289928.0
BTTN,48,289928.0
BTTN,51,289928.0
BTTN,54,289928.0
BTTN,57,289928.0
BTTN,60,289928.0
CTTN,3,140464.0
CTTN,6,182000.0
CTTN,9,215288.0
CTTN,12,251192.0
CTTN,15,280056.0
CTTN,18,303288.0
CTTN,21,356792.0
CTTN,24,376504.0
CTTN,27,401144.0
CTTN,30,413816.0
CTTN,33,437752.0
CTTN,36,444888.0
CTTN,39,449112.0
CTTN,42,453336.0
CTTN,45,458264.0
CTTN,48,460376.0
CTTN,51,460376.0
CTTN,54,460376.0
CTTN,57,460376.0
CTTN,60,460376.0
QTT_Int,3,140464.0
QTT_Int,6,198896.0
QTT_Int,9,254712.0
QTT_Int,12,307512.0
QTT_Int,15,360312.0
QTT_Int,18,410296.0
QTT_Int,21,458872.0
QTT_Int,24,507448.0
QTT_Int,27,555320.0
QTT_Int,30,601080.0
QTT_Int,33,644024.0
QTT_Int,36,682840.0
QTT_Int,39,716632.0
QTT_Int,42,746200.0
QTT_Int,45,763800.0
QTT_Int,48,779992.0
QTT_Int,51,787736.0
QTT_Int,54,796184.0
QTT_Int,57,801816.0
QTT_Int,60,804632.0
